time,peak_percentage
00:00,0.00
00:15,0.00
00:30,0.00
00:45,0.00
01:00,0.00
01:15,0.00
01:30,0.00
01:45,0.00
02:00,0.00
02:15,0.00
02:30,0.00
02:45,0.00
03:00,0.00
03:15,0.00
03:30,0.00
03:45,0.00
04:00,0.00
04:15,0.00
04:30,0.00
04:45,0.00
05:00,0.00
05:15,0.00
05:30,0.00
05:45,0.00
06:00,0.00
06:15,0.00
06:30,0.00
06:45,0.00
07:00,0.00
07:15,0.00
07:30,0.00
07:45,0.00
08:00,0.00
08:15,0.00
08:30,0.00
08:45,0.00
09:00,0.00
09:15,0.01
09:30,0.02
09:45,0.04
10:00,0.08
10:15,0.05
10:30,0.04
10:45,0.08
11:00,0.11
11:15,0.08
11:30,0.07
11:45,0.05
12:00,0.06
12:15,0.06
12:30,0.27
12:45,0.19
13:00,0.12
13:15,0.10
13:30,0.14
13:45,0.11
14:00,0.06
14:15,0.03
14:30,0.05
14:45,0.06
15:00,0.03
15:15,0.03
15:30,0.11
15:45,0.08
16:00,0.05
16:15,0.04
16:30,0.03
16:45,0.00
17:00,0.00
17:15,0.00
17:30,0.00
17:45,0.00
18:00,0.00
18:15,0.00
18:30,0.00
18:45,0.00
19:00,0.00
19:15,0.00
19:30,0.00
19:45,0.00
20:00,0.00
20:15,0.00
20:30,0.00
20:45,0.00
21:00,0.00
21:15,0.00
21:30,0.00
21:45,0.00
22:00,0.00
22:15,0.00
22:30,0.00
22:45,0.00
23:00,0.00
23:15,0.00
23:30,0.00
23:45,0.00
